,label,"First 5 Principal Components of Local Phase Quantization (LPQ) features
Local Phase Quantization (LPQ) features",,,,,First 5 Principal Components of Pyramid of Histogram of Gradients (PHOG) features,,,,
Airheads_000519240_00000005.mat,1,-0.00081724,0.0034698,-0.0075171,-0.010912,-0.0054296,0.0095511,0.0067755,0.0035193,-0.00099964,0.0043082
AlexEmma_000225840_00000024.mat,1,-0.0019823,-0.00026502,0.00016096,-0.010747,0.00082863,-0.00049553,-0.0047233,-0.0053007,2.90E-05,0.0024337
AlexEmma_000846120_00000015.mat,1,-0.0030116,0.013759,-0.0087055,0.0019429,0.0061133,0.01235,-0.0044805,-6.89E-05,0.0022386,0.0063954
AlexEmma_000958320_00000022.mat,1,0.00022408,0.0048942,-0.0054845,-0.0044262,-0.0098829,-0.0012781,-0.0030751,-0.0022199,0.00015534,0.00037549
AlexEmma_000958320_00000048.mat,1,-0.00044217,-0.0023756,-0.0024227,-0.010372,0.0021083,0.00092784,0.00082337,-0.0031689,-0.0039125,0.0051525
AlexEmma_000958320_00000069.mat,1,-0.0011055,0.0021197,-0.0032849,-0.0064262,-0.011666,0.0025168,-0.0088354,-0.0023136,-0.0041014,0.001039
AlexEmma_001907600_00000047.mat,1,-0.0012627,-0.022519,-0.0037013,-0.0056274,-0.009489,-0.013399,0.0034253,-0.0070648,0.0036605,0.0025155
AlexEmma_001911440_00000042.mat,1,-0.0011693,-0.022367,-0.014832,-0.0011779,-0.011345,-0.016939,0.0048949,-0.012611,0.0053144,0.0066979
AlexEmma_004108160_00000005.mat,1,0.0020192,-0.0021889,0.0016372,-0.0078953,-0.0076976,0.014068,0.0079642,0.0068933,-0.001063,0.0011439
AlexEmma_004541880_00000063.mat,1,-0.0045181,-0.013468,-0.0054261,-0.0030916,-0.0023567,0.010618,0.0068644,-0.0049586,0.0011314,0.0027233
AlexEmma_011823160_00000002.mat,1,-0.0026443,-0.0080293,-0.014288,-0.0058553,-0.0030814,-0.01372,0.0063709,-0.0033444,0.00086169,0.0098901
